Model,Price,Sales in Month,Body Type,Mileage,Torque
Pleasure Plus,67112,737,Commute,35.25231643,8.02533715
Glamour i3s,98321,403,Cruiser,43.30209455,9.903594967
Xpulse 200,74370,1084,Sport,39.98735724,8.443626176
Maestro Edge 125 Stealth,89128,791,Cruiser,58.88819656,7.620943183
Glamour Blaze 125,77130,284,Cruiser,60.63347812,10.26556966
Passion Pro,61860,366,Cruiser,73.1260234,11.34816536
Glamour Blaze 125,70880,1454,Commute,64.45186538,8.451064658
Destini 125,94788,979,Cruiser,66.2369573,11.48600555
HF Dawn,62726,200,Scooter,57.73815038,7.01177475
Glamour SV,85985,715,Touring,49.41413508,9.67287302
Passion Pro,64713,337,Touring,57.33758804,8.414279371
Xtreme,54877,1113,Sport,74.63144968,7.204033591
Glamour Xtec SV,76992,1473,Scooter,53.46390106,10.88439783
Achiever,64762,328,Commute,46.3722656,9.560820987
Xpulse 200T,92081,869,Scooter,49.858893,9.119869618
Glamour Blaze 125,58043,674,Commute,54.10273368,7.171597721
Splendor,68335,794,Commute,60.20090242,7.298166036
Glamour Blaze 125,61376,672,Cruiser,60.05466006,8.581151359
Glamour i3s,85722,1054,Cruiser,67.82989419,9.749640071
Glamour,80178,661,Scooter,47.70029937,9.171940297
Maestro Edge,82754,1096,Commute,71.88594126,10.19886177
Ignitor,99543,1480,Touring,44.8158787,9.580275371
Maestro,91418,226,Touring,71.18735379,10.03414451
Glamour Xtec 125,92081,1315,Scooter,74.19257641,11.33511514
Xpulse 300T,72928,1231,Commute,70.49534894,8.070415259
Glamour 125,73734,1004,Sport,53.80117491,11.99473322
Maestro Edge 125 Stealth,73538,1061,Cruiser,59.73687156,10.48369162
Duet,56529,1168,Scooter,47.7566932,8.448743064
Passion Pro 125,61264,1424,Touring,44.40146058,8.965364105
Glamour Xtec SV,59971,650,Cruiser,48.36522271,9.05067615
Karizma,94659,453,Scooter,48.06249559,11.13542618
Achiever,74856,1205,Touring,71.2741198,10.64618634
Achiever,97857,968,Touring,49.56537599,8.444166926
Xpulse 200,56476,152,Cruiser,71.31975165,7.049072051
Pleasure,69266,198,Sport,38.94830446,9.103372641
Glamour i3s,51534,223,Touring,42.54455337,8.15988879
Splendor,62661,329,Touring,39.35250978,8.246463457
Passion Pro,87328,621,Cruiser,47.82366022,7.069156955
Xtreme,57480,492,Commute,71.53747652,11.75967496
Passion Pro,79069,297,Commute,48.08116334,9.472710046
HF Deluxe i3s,55639,310,Touring,64.4109029,7.28010014
HF Deluxe,82161,187,Scooter,55.72080843,7.929364024
Karizma,94428,1393,Touring,68.15380151,11.1864455
